paper_id,doi,title,stratum,priority,acquisition_status,blocker
paper_15f725b9020158af,10.3390/pr7040213,Metabolic Engineering and Fermentation Process Strategies for L-Tryptophan Production by Escherichia coli,LIKELY_ENGINEERING,A,not_pdf,FULLTEXT_MISSING
paper_165bc7645631fa6b,10.3390/fermentation11050267,"Improvement of L-Tryptophan Production in Escherichia coli Using Biosensor-Based, High-Throughput Screening and Metabolic Engineering",LIKELY_ENGINEERING,A,not_pdf,FULLTEXT_MISSING
paper_2aae905b63be2435,10.1007/s10295-018-2106-5,Metabolic engineering for improving l -tryptophan production in Escherichia coli,LIKELY_ENGINEERING,A,http_error,FULLTEXT_MISSING
paper_583181becabee0cb,10.1016/j.bej.2024.109360,"Advances in the metabolic engineering of Escherichia coli for the production of serotonin and its precursor, tryptophan",LIKELY_ENGINEERING,A,no_oa_source,FULLTEXT_MISSING
paper_6edc47062e4719d3,10.1007/s10295-011-0978-8,Development of l-tryptophan production strains by defined genetic modification in Escherichia coli,LIKELY_ENGINEERING,A,not_pdf,FULLTEXT_MISSING
paper_7c1fd1d37ef03845,10.1007/bf00134901,Enhancement of tryptophan production by Escherichia coli as an application of genetic engineering,LIKELY_ENGINEERING,A,not_pdf,FULLTEXT_MISSING
paper_80348f89c1587337,10.1016/j.ymben.2018.05.001,Discovery of feed-forward regulation in L-tryptophan biosynthesis and its use in metabolic engineering of E. coli for efficient tryptophan bioproduction,LIKELY_ENGINEERING,A,no_oa_source,FULLTEXT_MISSING
paper_b49e62056a3c02fb,10.3390/fermentation8100560,A Molecular Dynamic Model of Tryptophan Overproduction in Escherichia coli,LIKELY_ENGINEERING,A,not_pdf,FULLTEXT_MISSING
paper_bc721b787aa7cc10,10.1007/s00253-013-5026-3,Genetic engineering of Escherichia coli to enhance production of l-tryptophan,LIKELY_ENGINEERING,A,not_pdf,FULLTEXT_MISSING
paper_c60c8edbc1a234e3,10.1016/j.procbio.2011.11.009,Effect of gene knockouts of l-tryptophan uptake system on the production of l-tryptophan in Escherichia coli,LIKELY_ENGINEERING,A,no_oa_source,FULLTEXT_MISSING
paper_3b94e280ae952f51,10.1099/mic.0.064139-0,Indole production by the tryptophanase TnaA in Escherichia coli is determined by the amount of exogenous tryptophan,WRONG_PRODUCT_OR_NON_TARGET,B,no_oa_source,FULLTEXT_MISSING
paper_5ac8e45ef6d5c93f,10.1016/j.ymben.2004.06.003,Metabolic design based on a coupled gene expression—metabolic network model of tryptophan production in Escherichia coli,REVIEW_OR_NON_ENGINEERING,B,no_oa_source,FULLTEXT_MISSING
paper_5d3b70a4ce247f32,10.3390/ijms20010020,Dietary l-Tryptophan Supplementation Enhances the Intestinal Mucosal Barrier Function in Weaned Piglets: Implication of Tryptophan-Metabolizing Microbiota,WRONG_PRODUCT_OR_NON_TARGET,B,http_error,FULLTEXT_MISSING
paper_6175a68127c0fb81,10.1016/j.biortech.2012.02.088,Modification of tryptophan transport system and its impact on production of l-tryptophan in Escherichia coli,REVIEW_OR_NON_ENGINEERING,B,no_oa_source,FULLTEXT_MISSING
paper_781e97fc79214ee7,10.1016/0922-338x(89)90116-5,Enzymatic production of l-cysteine with tryptophan synthase of Escherichia coli,REVIEW_OR_NON_ENGINEERING,B,no_oa_source,FULLTEXT_MISSING
paper_80e3c7bd7c68017c,10.1016/s0022-2836(65)80032-8,Studies on the regulation of tryptophan biosynthesis in Escherichia coli,REVIEW_OR_NON_ENGINEERING,B,no_oa_source,FULLTEXT_MISSING
