paper_id,doi,title,metadata_tier,acquisition_status,pdf_path,sampling_stratum,annotator,identity_correct,host_relation,target_product_correct,primary_research,engineering_intervention_present,experimental_validation_present,eligibility_label,relevance_grade,annotation_confidence,notes
paper_6edc47062e4719d3,10.1007/s10295-011-0978-8,Development of l-tryptophan production strains by defined genetic modification in Escherichia coli,tier_2_supporting_engineering,http_error,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_6edc47062e4719d3,10.1007/s10295-011-0978-8,Development of l-tryptophan production strains by defined genetic modification in Escherichia coli,tier_2_supporting_engineering,http_error,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_b9ea21673e7a2cc4,10.1007/s00449-021-02630-7,Metabolic control analysis of L-tryptophan producing Escherichia coli applying targeted perturbation with shikimate,tier_2_supporting_engineering,already_present,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_discovery\pdfs\10.1007_s00449-021-02630-7.pdf,tier_2_supporting_engineering,A,,,,,,,,,,
paper_b9ea21673e7a2cc4,10.1007/s00449-021-02630-7,Metabolic control analysis of L-tryptophan producing Escherichia coli applying targeted perturbation with shikimate,tier_2_supporting_engineering,already_present,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_discovery\pdfs\10.1007_s00449-021-02630-7.pdf,tier_2_supporting_engineering,B,,,,,,,,,,
paper_165bc7645631fa6b,10.3390/fermentation11050267,"Improvement of L-Tryptophan Production in Escherichia coli Using Biosensor-Based, High-Throughput Screening and Metabolic Engineering",tier_2_supporting_engineering,not_pdf,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_165bc7645631fa6b,10.3390/fermentation11050267,"Improvement of L-Tryptophan Production in Escherichia coli Using Biosensor-Based, High-Throughput Screening and Metabolic Engineering",tier_2_supporting_engineering,not_pdf,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_15f725b9020158af,10.3390/pr7040213,Metabolic Engineering and Fermentation Process Strategies for L-Tryptophan Production by Escherichia coli,tier_2_supporting_engineering,not_pdf,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_15f725b9020158af,10.3390/pr7040213,Metabolic Engineering and Fermentation Process Strategies for L-Tryptophan Production by Escherichia coli,tier_2_supporting_engineering,not_pdf,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_2aae905b63be2435,10.1007/s10295-018-2106-5,Metabolic engineering for improving l -tryptophan production in Escherichia coli,tier_2_supporting_engineering,http_error,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_2aae905b63be2435,10.1007/s10295-018-2106-5,Metabolic engineering for improving l -tryptophan production in Escherichia coli,tier_2_supporting_engineering,http_error,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_25fccf802fa0782d,10.1186/1475-2859-11-30,One-step of tryptophan attenuator inactivation and promoter swapping to improve the production of L-tryptophan in Escherichia coli,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_25fccf802fa0782d,10.1186/1475-2859-11-30,One-step of tryptophan attenuator inactivation and promoter swapping to improve the production of L-tryptophan in Escherichia coli,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_db18be686c5c0f5c,10.3390/microorganisms8040519,Engineering Improves Enzymatic Synthesis of L-Tryptophan by Tryptophan Synthase from Escherichia coli,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_db18be686c5c0f5c,10.3390/microorganisms8040519,Engineering Improves Enzymatic Synthesis of L-Tryptophan by Tryptophan Synthase from Escherichia coli,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_e7c21a0773671b4b,10.1128/aem.57.10.2995-2999.1991,Deletion of pgi alters tryptophan biosynthesis in a genetically engineered strain of Escherichia coli,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_e7c21a0773671b4b,10.1128/aem.57.10.2995-2999.1991,Deletion of pgi alters tryptophan biosynthesis in a genetically engineered strain of Escherichia coli,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_aff8625965f51aab,10.1016/j.mec.2021.e00167,Integrated laboratory evolution and rational engineering of GalP/Glk-dependent Escherichia coli for higher yield and productivity of L-tryptophan biosynthesis,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_aff8625965f51aab,10.1016/j.mec.2021.e00167,Integrated laboratory evolution and rational engineering of GalP/Glk-dependent Escherichia coli for higher yield and productivity of L-tryptophan biosynthesis,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_bc9e37df79cc5809,10.1371/journal.pone.0179240,Gene modification of the acetate biosynthesis pathway in Escherichia coli and implementation of the cell recycling technology to increase L-tryptophan production,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_bc9e37df79cc5809,10.1371/journal.pone.0179240,Gene modification of the acetate biosynthesis pathway in Escherichia coli and implementation of the cell recycling technology to increase L-tryptophan production,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_80348f89c1587337,10.1016/j.ymben.2018.05.001,Discovery of feed-forward regulation in L-tryptophan biosynthesis and its use in metabolic engineering of E. coli for efficient tryptophan bioproduction,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_80348f89c1587337,10.1016/j.ymben.2018.05.001,Discovery of feed-forward regulation in L-tryptophan biosynthesis and its use in metabolic engineering of E. coli for efficient tryptophan bioproduction,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_b49e62056a3c02fb,10.3390/fermentation8100560,A Molecular Dynamic Model of Tryptophan Overproduction in Escherichia coli,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_b49e62056a3c02fb,10.3390/fermentation8100560,A Molecular Dynamic Model of Tryptophan Overproduction in Escherichia coli,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_bc721b787aa7cc10,10.1007/s00253-013-5026-3,Genetic engineering of Escherichia coli to enhance production of l-tryptophan,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,A,,,,,,,,,,
paper_bc721b787aa7cc10,10.1007/s00253-013-5026-3,Genetic engineering of Escherichia coli to enhance production of l-tryptophan,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,B,,,,,,,,,,
paper_c60c8edbc1a234e3,10.1016/j.procbio.2011.11.009,Effect of gene knockouts of l-tryptophan uptake system on the production of l-tryptophan in Escherichia coli,tier_2_supporting_engineering,not_planned,,tier_2_supporting_engineering,A,,,,,,,,,,
