paper_id,doi,title,stratum,local_pdf,identity_correct,publication_type,host_relation,product_role,implemented_engineering_present,intervention_type,measured_production_present,metric_type,value,unit,final_eligibility,evidence_page,evidence_section,short_evidence_note,notes
paper_03dd36f26a42ca9e,10.33545/26649926.2025.v7.i8d.663,Metabolic engineering of Escherichia coli for enhanced production of L-tryptophan,LIKELY_ENGINEERING,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.33545_26649926.2025.v7.i8d.663.pdf,,,,,,,,,,,,,,,
paper_91edf849b875bcae,10.1080/21655979.2019.1592417,Central metabolic pathway modification to improve L-tryptophan production in Escherichia coli,LIKELY_ENGINEERING,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1080_21655979.2019.1592417.pdf,,,,,,,,,,,,,,,
paper_aff8625965f51aab,10.1016/j.mec.2021.e00167,Integrated laboratory evolution and rational engineering of GalP/Glk-dependent Escherichia coli for higher yield and productivity of L-tryptophan biosynthesis,LIKELY_ENGINEERING,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1016_j.mec.2021.e00167.pdf,,,,,,,,,,,,,,,
paper_b9ea21673e7a2cc4,10.1007/s00449-021-02630-7,Metabolic control analysis of L-tryptophan producing Escherichia coli applying targeted perturbation with shikimate,LIKELY_ENGINEERING,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_verification\pdfs\10.1007_s00449-021-02630-7.pdf,,,,,,,,,,,,,,,
paper_db18be686c5c0f5c,10.3390/microorganisms8040519,Engineering Improves Enzymatic Synthesis of L-Tryptophan by Tryptophan Synthase from Escherichia coli,LIKELY_ENGINEERING,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_verification\pdfs\10.3390_microorganisms8040519.pdf,,,,,,,,,,,,,,,
paper_71ab13883b209e28,10.1016/j.ymben.2024.09.008,Architecting a transcriptional repressor-based genetic inverter for tryptophan derived pathway regulation in Escherichia coli,MECHANISM_BOUNDARY,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1016_j.ymben.2024.09.008.pdf,,,,,,,,,,,,,,,
paper_ecf200739811f4c2,10.1073/pnas.1108434108,The main auxin biosynthesis pathway in Arabidopsis,MECHANISM_BOUNDARY,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1073_pnas.1108434108.pdf,,,,,,,,,,,,,,,
paper_3dbec1190a8b2bb6,10.1007/s00253-010-2522-6,Engineering Corynebacterium glutamicum for isobutanol production,BACKGROUND_EXCLUDE,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1007_s00253-010-2522-6.pdf,,,,,,,,,,,,,,,
paper_ab98b07a10eabc8c,10.1038/srep29745,Tunable switch mediated shikimate biosynthesis in an engineered non-auxotrophic Escherichia coli,BACKGROUND_EXCLUDE,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1038_srep29745.pdf,,,,,,,,,,,,,,,
paper_d3571441c9245558,10.1093/nar/gkq1143,EcoCyc: a comprehensive database of Escherichia coli biology,BACKGROUND_EXCLUDE,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1093_nar_gkq1143.pdf,,,,,,,,,,,,,,,
paper_d5de6784836888fa,10.1186/1475-2859-4-14,Improvement of Escherichia coli production strains by modification of the phosphoenolpyruvate:sugar phosphotransferase system,BACKGROUND_EXCLUDE,D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1186_1475-2859-4-14.pdf,,,,,,,,,,,,,,,
